artist,album,rank,year,reviewer_url
Kanye West,Yeezus,62,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Sam Hunt,Montevallo,61,2014,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Florence + the Machine,"How Big, How Blue, How Beautiful",60,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Sufjan Stevens,Carrie and Lowell,58,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Calvin Harris,Funk Wav Bounces Vol. 1,57,2017,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Bon Iver,Bon Iver,56,2011,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
The Black Keys,Brothers,55,2010,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
"Tyler, the Creator",IGOR,54,2019,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
JAY-Z,4:44,53,2017,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Anderson .Paak,Malibu,52,2016,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Taylor Swift,Speak Now,51,2010,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
David Bowie,Blackstar,49,2016,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Kendrick Lamar,DAMN.,48,2017,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
J. Balvin,Vibras,47,2017,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Disclosure,Settle,46,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Drake,Nothing Was the Same,45,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
'Hamilton' Original Broadway Cast Recording,Hamilton,44,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
One Direction,Four,43,2014,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Sam Smith,In the Lonely Hour,42,2014,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Grimes,Art Angels,41,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Future,DS2,40,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
LCD Soundsystem,This Is Happening,39,2010,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Ariana Grande,Sweetener,38,2018,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Paramore,Paramore,37,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
D'Angelo and the Vanguard,Black Messiah,36,2014,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Chance the Rapper,Acid Rap,35,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Fiona Apple,The Idler Wheel...,34,2012,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Janelle Monáe,Dirty Computer,33,2018,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Tame Impala,Currents,32,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Lana Del Rey,Born to Die,31,2012,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Justin Bieber,Purpose,30,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Miguel,Kaleidoscope Dream,29,2012,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Frank Ocean,Blonde,28,2016,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Billie Eilish,"When We All Fall Asleep, Where Do We Go?",27,2019,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Arcade Fire,The Suburbs,26,2010,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Rosalía,El Mal Querer,25,2018,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
JAY-Z & Kanye West,Watch the Throne,24,2011,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Lorde,Pure Heroine,23,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
SZA,Ctrl,22,2017,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Lady Gaga,Born This Way,21,2011,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
The Weeknd,House of Balloons,20,2011,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Taylor Swift,1989,19,2014,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Vampire Weekend,Modern Vampires of the City,18,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Solange,A Seat at the Table,17,2016,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Drake,Take Care,16,2011,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Kendrick Lamar,"good kid, m.A.A.d city",15,2012,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Katy Perry,Teenage Dream,14,2010,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Cardi B,Invasion of Privacy,13,2018,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Daft Punk,Random Access Memories,12,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Beyoncé,Beyoncé,11,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Adele,21,10,2011,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Robyn,Body Talk,9,2010,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Ariana Grande,"thank u, next",8,2019,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Rihanna,Anti,7,2016,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Kacey Musgraves,Golden Hour,6,2018,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Kendrick Lamar,To Pimp a Butterfly,5,2016,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Taylor Swift,Red,4,2012,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Frank Ocean,Channel ORANGE,3,2012,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Beyoncé,Lemonade,2,2016,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Kanye West,My Beautiful Dark Twisted Fantasy,1,2010,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Charli XCX,True Romance,75,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Pusha T,Daytona,59,2018,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Carly Rae Jepsen,E•MO•TION,50,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Future,Pluto,100,2012,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Car Seat Headrest,Teens of Denial,99,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
PUP,The Dream Is Over,98,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",97,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Colleen Green,I Want To Grow Up,96,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Wye Oak,Civilian,95,2011,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Purity Ring,Shrines,94,2012,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Hop Along,Painted Shut,93,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Jim O’Rourke,Simple Songs,92,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Japanese Breakfast,Soft Sounds from Another Planet,91,2017,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Charly Bliss,Guppy,90,2017,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
"Young Thug, Birdman, & Rich Homie Quan",Rich Gang: Tha Tour Part 1,89,2014,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Cobalt,Slow Forever,88,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Oneohtrix Point Never,Replica,87,2011,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Eric Church,The Outsiders,86,2014,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Sleigh Bells,Treats,85,2010,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Vampire Weekend,Father of the Bride,84,2019,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Priests,Nothing Feels Natural,83,2017,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Fuck Buttons,Slow Focus,82,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Japandroids,Celebration Rock,81,2012,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Parquet Courts,Light Up Gold,80,2012,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Big Thief,U.F.O.F.,79,2019,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Deerhunter,Halcyon Digest,78,2010,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
SZA,Ctrl,77,2017,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
(Sandy) Alex G,DSU,76,2014,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Charli XCX,Pop 2,75,2017,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
The National,Sleep Well Beast,74,2017,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Björk,Vulnicura,73,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Nick Cave & The Bad Seeds,Ghosteen,72,2019,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Low,Double Negative,71,2018,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
D'Angelo and the Vanguard,Black Messiah,70,2014,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Taylor Swift,1989,69,2014,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Purple Mountains,Purple Mountains,68,2019,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Lana Del Rey,Norman Fucking Rockwell!,67,2019,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Jenny Hval,"Apocalypse, girl",66,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
James Blake,James Blake,65,2011,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Blood Orange,Cupid Deluxe,64,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Fucked Up,David Comes To Life,63,2011,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
M83,"Hurry Up, We’re Dreaming",62,2011,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
The 1975,I Like it when you sleep...,61,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Kamasi Washington,The Epic,60,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Radiohead,A Moon Shaped Pool,59,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
A Tribe Called Quest,We Got It From Here... Thank You 4 Your Service,58,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Earl Sweatshirt,Doris,57,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Cardi B,Invasion of Privacy,56,2018,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Rosalía,El Mal Querer,55,2018,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Titus Andronicus,The Monitor,54,2010,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
The Knife,Shaking the Habitual,53,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Tame Impala,Currents,52,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Sharon Van Etten,Are We There,51,2014,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Run The Jewels,Run The Jewels 2,50,2014,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Panda Bear,Tomboy,49,2011,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Snail Mail,Lush,48,2018,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Waxahatchee,Cerulean Salt,47,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Rihanna,ANTI,46,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Pusha T,Daytona,45,2018,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Slowdive,Slowdive,44,2017,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Perfume Genius,No Shape,43,2017,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Ariana Grande,Sweetener,42,2018,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Chance The Rapper,Acid Rap,41,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Lana Del Rey,Born to Die,40,2012,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Joanna Newsom,Have One On Me,39,2010,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Drake,Take Care,38,2011,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Bon Iver,"22, A Million",37,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
FKA Twigs,LP1,36,2014,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Mount Eerie,A Crow Looked at Me,35,2017,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Kacey Musgraves,Golden Hour,34,2018,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Beyoncé,Lemonade,33,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Beach House,Teen Dream,32,2010,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Father John Misty,"I Love You, Honeybear",31,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Danny Brown,Old,30,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Angel Olsen,Burn Your Fire for No Witness,29,2014,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
St. Vincent,Strange Mercy,28,2011,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Mitski,Puberty 2,27,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Vampire Weekend,Modern Vampires of the City,26,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Deafheaven,Sunbather,25,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
The War On Drugs,Lost In The Dream,24,2014,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Vince Staples,Summertime '06,23,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Bon Iver,Bon Iver,22,2011,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Solange,A Seat at the Table,21,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Robyn,Body Talk,20,2010,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Fiona Apple,The Idler Wheel...,19,2012,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
My Bloody Valentine,mbv,18,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Lorde,Melodrama,17,2017,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Sufjan Stevens,Carrie & Lowell,16,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
David Bowie,Blackstar,15,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Arcade Fire,The Suburbs,14,2010,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Frank Ocean,Channel ORANGE,13,2012,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
LCD Soundsystem,This Is Happening,12,2010,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Kendrick Lamar,DAMN.,11,2017,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Taylor Swift,Red,10,2012,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Carly Rae Jepsen,E•MO•TION,9,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Sky Ferreira,"Night Time, My Time",8,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Beyoncé,Beyoncé,7,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Kendrick Lamar,"good kid, m.A.A.d city",6,2012,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Frank Ocean,Blonde,5,2016,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Kanye West,My Beautiful Dark Twisted Fantasy,4,2010,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Grimes,Art Angels,3,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Kanye West,Yeezus,2,2013,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
Kendrick Lamar,To Pimp a Butterfly,1,2015,https://www.stereogum.com/featured/best-albums-of-the-2010s-list/
PJ Harvey,Let England Shake,100,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Savages,Silence Yourself,99,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Destroyer,Kaputt,98,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Ariana Grande,"thank u, next",97,2019,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Bon Iver,"22, A Million",96,2016,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Oneohtrix Point Never,Replica,95,2012,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Tom Waits,Bad as Me,94,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
BROCKHAMPTON,Iridescence,93,2018,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Caribou,Our Love,92,2014,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",91,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Carly Rae Jepsen,E•MO•TION,90,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Big Boi,Sir Lucious Left Foot: The Son of Chico Dusty,89,2010,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Lady Lamb,After,88,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Christine and the Queens,Chris,87,2018,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Spoon,Hot Thoughts,86,2017,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Kacey Musgraves,Golden Hour,85,2018,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Thundercat,The Golden Age of Apocalypse,84,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Cardi B,Invasion of Privacy,83,2018,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Japandroids,Celebration Rock,82,2012,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Rihanna,Anti,81,2016,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Foo Fighters,Wasting Light,80,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Beyoncé,Beyoncé,79,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Noname,Room 25,78,2018,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Deerhunter,Halcyon Digest,77,2010,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Sleater-Kinney,No Cities to Love,76,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
HAIM,Days Are Gone,75,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Drake,Take Care,74,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
FKA twigs,LP1,73,2014,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
My Bloody Valentine,m b v,72,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Run the Jewels,Run the Jewels 2,71,2014,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Katy Perry,Teenage Dream,70,2010,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Paramore,After Laughter,69,2017,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
A Tribe Called Quest,We Got It From Here... Thank You 4 Your Service,68,2016,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
The National,Trouble Will Find Me,67,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Lady Gaga,Joanne,66,2016,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Cloud Nothings,Attack on Memory,65,2012,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Angel Olsen,All Mirrors,64,2019,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Spiritualized,"Sweet Heart, Sweet Light",63,2012,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
SABA,Care for Me,62,2018,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Joanna Newsom,Have One On Me,61,2010,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Chromatics,Kill for Love,60,2012,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Titus Andronicus,The Most Lamentable Tragedy,59,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Blood Orange,Negro Swan,58,2018,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
St. Vincent,Masseduction,57,2017,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Frank Ocean,Blonde,56,2016,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Lucy Dacus,Historian,55,2018,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Mount Eerie,A Crow Looked at Me,54,2017,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
D'Angelo and the Vanguard,Black Messiah,53,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Sky Ferreira,"Night Time, My Time",52,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Jamila Woods,Legacy! Legacy!,51,2019,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Kanye and Jay-Z,Watch the Throne,50,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Sharon Van Etten,Remind Me Tomorrow,49,2019,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Flying Lotus,Cosmogramma,48,2010,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Daft Punk,Random Access Memories,47,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Anderson .Paak,Malibu,46,2016,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Father John Misty,"I Love You, Honeybear",45,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Disclosure,Settle,44,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Sufjan Stevens,Carrie & Lowell,43,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Björk,Vulnicura,42,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
James Blake,James Blake,41,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Deafheaven,Sunbather,40,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Beach House,Teen Dream,39,2010,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Chance the Rapper,Acid Rap,38,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Lana Del Rey,Ultraviolence,37,2014,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Kamasi Washington,Heaven and Earth,36,2018,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Gorillaz,Plastic Beach,35,2010,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Vince Staples,Big Fish Theory,34,2017,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Grimes,Art Angels,33,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Nick Cave and the Bad Seeds,The Skeleton Tree,32,2016,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
LCD Soundsystem,This Is Happening,31,2010,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Bon Iver,Bon Iver,30,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Solange,A Seat at the Table,29,2016,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
M83,"Hurry Up, We’re Dreaming",28,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Arctic Monkeys,AM,27,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Jamie xx,In Colour,26,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Kendrick Lamar,DAMN.,25,2017,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Taylor Swift,1989,24,2014,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Angel Olsen,My Woman,23,2016,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Against Me!,Transgender Dysphoria Blues,22,2014,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
The National,High Violet,21,2010,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
SZA,Ctrl,20,2017,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Adele,21,19,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Arcade Fire,The Suburbs,18,2010,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
David Bowie,Blackstar,17,2016,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
The War on Drugs,Lost in the Dream,16,2014,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Billie Eilish,"When We All Fall Asleep, Where Do We Go?",15,2019,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Janelle Monáe,Dirty Computer,14,2018,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Tame Impala,Currents,13,2015,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Kanye West,Yeezus,12,2013,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Fiona Apple,The Idler Wheel...,11,2012,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Mitski,Be the Cowboy,10,2018,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
St. Vincent,Strange Mercy,9,2011,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Kendrick Lamar,"good kid, m.A.A.d city",8,2012,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
Robyn,Body Talk,7,2010,https://consequenceofsound.net/2019/11/top-albums-of-the-2010s/full-post/
