artist,album,rank,year,reviewer_url
Sheer Mag,Compilation,146,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Chief Keef,Finally Rich,145,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
PJ Harvey,Let England Shake,144,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Weyes Blood,Titanic Rising,143,2019,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Fennesz,Agora,142,2019,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Rick Ross,Rich Forever,141,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Parquet Courts,Sunbathing Animal,140,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Emeralds,Does It Look Like I’m Here?,139,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Alabama Shakes,Sound & Color,138,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
A$AP Rocky,LIVE.LOVE.A$AP,137,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Tim Hecker,"Ravedeath, 1972",136,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Fleet Foxes,Helplessness Blues,135,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
M83,"Hurry Up, We’re Dreaming",134,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Frankie Cosmos,Zentropy,133,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Amen Dunes,Freedom,132,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Run the Jewels,Run the Jewels 2,131,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Tame Impala,Lonerism,130,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Various Artists,Bangs and Works Vol. 1: A Chicago Footwork Compilation,129,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Radiohead,A Moon Shaped Pool,128,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Car Seat Headrest,Teens of Denial,127,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Panda Bear,Tomboy,126,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Yves Tumor,Safe in the Hands of Love,125,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Real Estate,Days,124,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Deafheaven,Sunbather,123,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Snail Mail,Lush,122,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
The Hotelier,"Home, Like Noplace Is There",121,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
"Tyler, the Creator",Flower Boy,120,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
