artist,genre
My Bloody Valentine,Pop Rock
Tom Waits,Rock
BROCKHAMPTON,Hip Hop
Big Boi,Hip Hop
Lady Lamb,Indie Rock
Christine and the Queens,Pop
Spoon,Alt Indie
Thundercat,Jazz
Foo Fighters,Alt Rock
Sleater-Kinney,Punk Rock
Cloud Nothings,Indie Rock
Spiritualized,Rock
SABA,Hip Hop
Lucy Dacus,Indie Rock
Kanye and Jay-Z,Hip Hop
Gorillaz,Alt Rock
Beauty Pill,Rock
Charles Bradley,R&B
Lucius,Indie Pop
Julien Baker,Alt Rock
Tune-Yards,Pop
St. Paul and the Broken Bones,Soul
IDLES,Punk Rock
Kevin Morby,Indie Rock
Frightened Rabbit,Indie Rock
Leon Bridges,Soul
The Decemberists,Indie Rock
Future Islands,Pop
Whitney,Alt Indie
Phoebe Bridgers,Indie Rock
Jason Isbell,Country
Alvvays,Indie Pop
Schoolboy Q,Hip Hop
Isaiah Rashad,Hip Hop
alt-j,Rock
Logic,Hip Hop
Kali Uchis,R&B
Big Sean,Hip Hop
Daughters,Rock
Migos,Hip Hop
BTS,Pop
Post Malone,Hip Hop
Lupe Fiasco,Hip Hop
BIGBANG,Pop
Kids See Ghosts,Hip Hop
Imagine Dragons,Pop Rock
Skepta,Hip Hop
Rich Gang,Hip Hop
Kid Cudi,Hip Hop
Denzel Curry,Hip Hop
Joey Bada$$,Hip Hop
Freddie Gibbs & Madlib,Hip Hop
YG,Hip Hop
John Prine,Folk
Low Cut Connie,Rock
U2,Rock
Neil Young and Crazy Horse,Rock
Metallica,Rock
Stephen Malkmus and the Jicks,Indie Rock
The Highwomen,Country
Jack White,Rock
Paul McCartney,Rock
Harry Styles,Rock
Khalid,Hip Hop
Bruce Springsteen,Rock
Bob Dylan,Rock
Randy Newman,Rock
Paul Simon,Folk
Pistol Annies,Country
